Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,2006,Males,70-74,693
Actual,Melanoma of the skin,2007,Males,70-74,682
Actual,Melanoma of the skin,2008,Males,70-74,662
Actual,Melanoma of the skin,2009,Males,70-74,793
Actual,Melanoma of the skin,2010,Males,70-74,811
Actual,Melanoma of the skin,2011,Males,70-74,818
Actual,Melanoma of the skin,2012,Males,70-74,900
Actual,Melanoma of the skin,2013,Males,70-74,948
Actual,Melanoma of the skin,2014,Males,70-74,926
Actual,Melanoma of the skin,2015,Males,70-74,"1,121"
Actual,Melanoma of the skin,2016,Males,70-74,"1,142"
Actual,Melanoma of the skin,2017,Males,70-74,"1,290"
Actual,Melanoma of the skin,2018,Males,70-74,"1,286"
Actual,Melanoma of the skin,2019,Males,70-74,"1,428"
Actual,Melanoma of the skin,2020,Males,70-74,"1,305"
Projections,Melanoma of the skin,2021,Males,70-74,"1,575"
Projections,Melanoma of the skin,2022,Males,70-74,"1,590"
Projections,Melanoma of the skin,2023,Males,70-74,"1,624"
Projections,Melanoma of the skin,2024,Males,70-74,"1,676"
Actual,Melanoma of the skin,1982,Females,70-74,112
Actual,Melanoma of the skin,1983,Females,70-74,132
Actual,Melanoma of the skin,1984,Females,70-74,133
Actual,Melanoma of the skin,1985,Females,70-74,158
Actual,Melanoma of the skin,1986,Females,70-74,168
Actual,Melanoma of the skin,1987,Females,70-74,199
Actual,Melanoma of the skin,1988,Females,70-74,213
Actual,Melanoma of the skin,1989,Females,70-74,190
Actual,Melanoma of the skin,1990,Females,70-74,237
Actual,Melanoma of the skin,1991,Females,70-74,200
Actual,Melanoma of the skin,1992,Females,70-74,221
Actual,Melanoma of the skin,1993,Females,70-74,268
Actual,Melanoma of the skin,1994,Females,70-74,278
Actual,Melanoma of the skin,1995,Females,70-74,265
Actual,Melanoma of the skin,1996,Females,70-74,306
Actual,Melanoma of the skin,1997,Females,70-74,311
Actual,Melanoma of the skin,1998,Females,70-74,267
Actual,Melanoma of the skin,1999,Females,70-74,302
Actual,Melanoma of the skin,2000,Females,70-74,328
Actual,Melanoma of the skin,2001,Females,70-74,346
Actual,Melanoma of the skin,2002,Females,70-74,343
Actual,Melanoma of the skin,2003,Females,70-74,331
Actual,Melanoma of the skin,2004,Females,70-74,319
Actual,Melanoma of the skin,2005,Females,70-74,363
Actual,Melanoma of the skin,2006,Females,70-74,349
Actual,Melanoma of the skin,2007,Females,70-74,343
