Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,1973,Persons,15-19,6
Actual,Melanoma of the skin,1973,Males,20-24,8
Actual,Melanoma of the skin,1973,Females,20-24,3
Actual,Melanoma of the skin,1973,Persons,20-24,11
Actual,Melanoma of the skin,1973,Males,25-29,9
Actual,Melanoma of the skin,1973,Females,25-29,4
Actual,Melanoma of the skin,1973,Persons,25-29,13
Actual,Melanoma of the skin,1973,Males,30-34,11
Actual,Melanoma of the skin,1973,Females,30-34,8
Actual,Melanoma of the skin,1973,Persons,30-34,19
Actual,Melanoma of the skin,1973,Males,35-39,8
Actual,Melanoma of the skin,1973,Females,35-39,5
Actual,Melanoma of the skin,1973,Persons,35-39,13
Actual,Melanoma of the skin,1973,Males,40-44,16
Actual,Melanoma of the skin,1973,Females,40-44,12
Actual,Melanoma of the skin,1973,Persons,40-44,28
Actual,Melanoma of the skin,1973,Males,45-49,22
Actual,Melanoma of the skin,1973,Females,45-49,19
Actual,Melanoma of the skin,1973,Persons,45-49,41
Actual,Melanoma of the skin,1973,Males,50-54,21
Actual,Melanoma of the skin,1973,Females,50-54,22
Actual,Melanoma of the skin,1973,Persons,50-54,43
Actual,Melanoma of the skin,1973,Males,55-59,28
Actual,Melanoma of the skin,1973,Females,55-59,10
Actual,Melanoma of the skin,1973,Persons,55-59,38
Actual,Melanoma of the skin,1973,Males,60-64,26
Actual,Melanoma of the skin,1973,Females,60-64,19
Actual,Melanoma of the skin,1973,Persons,60-64,45
Actual,Melanoma of the skin,1973,Males,65-69,24
Actual,Melanoma of the skin,1973,Females,65-69,18
Actual,Melanoma of the skin,1973,Persons,65-69,42
Actual,Melanoma of the skin,1973,Males,70-74,17
Actual,Melanoma of the skin,1973,Females,70-74,14
Actual,Melanoma of the skin,1973,Persons,70-74,31
Actual,Melanoma of the skin,1973,Males,75-79,17
Actual,Melanoma of the skin,1973,Females,75-79,9
Actual,Melanoma of the skin,1973,Persons,75-79,26
Actual,Melanoma of the skin,1973,Males,80-84,7
Actual,Melanoma of the skin,1973,Females,80-84,6
Actual,Melanoma of the skin,1973,Persons,80-84,13
Actual,Melanoma of the skin,1973,Males,85-89,3
Actual,Melanoma of the skin,1973,Females,85-89,2
Actual,Melanoma of the skin,1973,Persons,85-89,5
Actual,Melanoma of the skin,1973,Males,90+,2
Actual,Melanoma of the skin,1973,Persons,90+,2
Actual,Melanoma of the skin,1973,Males,All ages combined,221
Actual,Melanoma of the skin,1973,Females,All ages combined,155
Actual,Melanoma of the skin,1973,Persons,All ages combined,376
Actual,Melanoma of the skin,1974,Males,15-19,1
Actual,Melanoma of the skin,1974,Persons,15-19,1
Actual,Melanoma of the skin,1974,Males,20-24,5
Actual,Melanoma of the skin,1974,Females,20-24,1
Actual,Melanoma of the skin,1974,Persons,20-24,6
Actual,Melanoma of the skin,1974,Males,25-29,9
Actual,Melanoma of the skin,1974,Females,25-29,6
Actual,Melanoma of the skin,1974,Persons,25-29,15
Actual,Melanoma of the skin,1974,Males,30-34,10
Actual,Melanoma of the skin,1974,Females,30-34,4
Actual,Melanoma of the skin,1974,Persons,30-34,14
Actual,Melanoma of the skin,1974,Males,35-39,10
Actual,Melanoma of the skin,1974,Females,35-39,9
Actual,Melanoma of the skin,1974,Persons,35-39,19
Actual,Melanoma of the skin,1974,Males,40-44,21
Actual,Melanoma of the skin,1974,Females,40-44,13
Actual,Melanoma of the skin,1974,Persons,40-44,34
Actual,Melanoma of the skin,1974,Males,45-49,30
Actual,Melanoma of the skin,1974,Females,45-49,17
Actual,Melanoma of the skin,1974,Persons,45-49,47
Actual,Melanoma of the skin,1974,Males,50-54,25
Actual,Melanoma of the skin,1974,Females,50-54,17
Actual,Melanoma of the skin,1974,Persons,50-54,42
Actual,Melanoma of the skin,1974,Males,55-59,26
Actual,Melanoma of the skin,1974,Females,55-59,19
Actual,Melanoma of the skin,1974,Persons,55-59,45
Actual,Melanoma of the skin,1974,Males,60-64,32
Actual,Melanoma of the skin,1974,Females,60-64,13
Actual,Melanoma of the skin,1974,Persons,60-64,45
Actual,Melanoma of the skin,1974,Males,65-69,34
Actual,Melanoma of the skin,1974,Females,65-69,23
Actual,Melanoma of the skin,1974,Persons,65-69,57
Actual,Melanoma of the skin,1974,Males,70-74,13
Actual,Melanoma of the skin,1974,Females,70-74,16
Actual,Melanoma of the skin,1974,Persons,70-74,29
Actual,Melanoma of the skin,1974,Males,75-79,14
Actual,Melanoma of the skin,1974,Females,75-79,9
Actual,Melanoma of the skin,1974,Persons,75-79,23
Actual,Melanoma of the skin,1974,Males,80-84,8
Actual,Melanoma of the skin,1974,Females,80-84,9
Actual,Melanoma of the skin,1974,Persons,80-84,17
Actual,Melanoma of the skin,1974,Males,85-89,5
Actual,Melanoma of the skin,1974,Females,85-89,1
Actual,Melanoma of the skin,1974,Persons,85-89,6
Actual,Melanoma of the skin,1974,Males,90+,1
Actual,Melanoma of the skin,1974,Persons,90+,1
Actual,Melanoma of the skin,1974,Males,All ages combined,244
Actual,Melanoma of the skin,1974,Females,All ages combined,157
Actual,Melanoma of the skin,1974,Persons,All ages combined,401
Actual,Melanoma of the skin,1975,Females,10-14,1
Actual,Melanoma of the skin,1975,Persons,10-14,1
Actual,Melanoma of the skin,1975,Males,15-19,2
Actual,Melanoma of the skin,1975,Females,15-19,1
Actual,Melanoma of the skin,1975,Persons,15-19,3
Actual,Melanoma of the skin,1975,Males,20-24,2
Actual,Melanoma of the skin,1975,Females,20-24,5
Actual,Melanoma of the skin,1975,Persons,20-24,7
Actual,Melanoma of the skin,1975,Males,25-29,12
Actual,Melanoma of the skin,1975,Females,25-29,8
Actual,Melanoma of the skin,1975,Persons,25-29,20
Actual,Melanoma of the skin,1975,Males,30-34,15
Actual,Melanoma of the skin,1975,Females,30-34,7
Actual,Melanoma of the skin,1975,Persons,30-34,22
Actual,Melanoma of the skin,1975,Males,35-39,9
Actual,Melanoma of the skin,1975,Females,35-39,12
Actual,Melanoma of the skin,1975,Persons,35-39,21
Actual,Melanoma of the skin,1975,Males,40-44,24
Actual,Melanoma of the skin,1975,Females,40-44,8
Actual,Melanoma of the skin,1975,Persons,40-44,32
Actual,Melanoma of the skin,1975,Males,45-49,29
Actual,Melanoma of the skin,1975,Females,45-49,8
Actual,Melanoma of the skin,1975,Persons,45-49,37
Actual,Melanoma of the skin,1975,Males,50-54,26
Actual,Melanoma of the skin,1975,Females,50-54,19
Actual,Melanoma of the skin,1975,Persons,50-54,45
Actual,Melanoma of the skin,1975,Males,55-59,27
Actual,Melanoma of the skin,1975,Females,55-59,19
Actual,Melanoma of the skin,1975,Persons,55-59,46
Actual,Melanoma of the skin,1975,Males,60-64,19
Actual,Melanoma of the skin,1975,Females,60-64,24
Actual,Melanoma of the skin,1975,Persons,60-64,43
Actual,Melanoma of the skin,1975,Males,65-69,32
Actual,Melanoma of the skin,1975,Females,65-69,16
Actual,Melanoma of the skin,1975,Persons,65-69,48
Actual,Melanoma of the skin,1975,Males,70-74,22
Actual,Melanoma of the skin,1975,Females,70-74,10
Actual,Melanoma of the skin,1975,Persons,70-74,32
Actual,Melanoma of the skin,1975,Males,75-79,15
Actual,Melanoma of the skin,1975,Females,75-79,15
Actual,Melanoma of the skin,1975,Persons,75-79,30
Actual,Melanoma of the skin,1975,Males,80-84,9
Actual,Melanoma of the skin,1975,Females,80-84,13
Actual,Melanoma of the skin,1975,Persons,80-84,22
Actual,Melanoma of the skin,1975,Males,85-89,6
Actual,Melanoma of the skin,1975,Females,85-89,5
Actual,Melanoma of the skin,1975,Persons,85-89,11
Actual,Melanoma of the skin,1975,Males,90+,1
Actual,Melanoma of the skin,1975,Females,90+,3
Actual,Melanoma of the skin,1975,Persons,90+,4
Actual,Melanoma of the skin,1975,Males,All ages combined,250
Actual,Melanoma of the skin,1975,Females,All ages combined,174
